iter	RMSE
634	45.01858995
635	45.0133233
636	45.00988984
637	45.00406579
638	45.00156755
639	44.99999332
640	44.99165797
641	44.9880234
642	44.98229286
643	44.97675917
644	44.97294069
645	44.96575214
646	44.95941335
647	44.95784252
648	44.95433495
649	44.94846631
650	44.94372085
651	44.93952436
652	44.93437701
653	44.93142036
654	44.92762271
655	44.92449786
656	44.92099747
657	44.91473685
658	44.91140884
659	44.90404422
660	44.90080364
661	44.89559122
662	44.89308757
663	44.88880972
664	44.88417108
665	44.87883351
666	44.87486834
667	44.87061552
668	44.86842662
669	44.86616114
670	44.86375709
671	44.86056153
672	44.85679016
673	44.85388771
674	44.848227
675	44.84322872
676	44.83820743
677	44.8353511
678	44.82903391
679	44.8225963
680	44.8190449
681	44.81659821
682	44.81134822
683	44.80625679
684	44.80005492
685	44.79820355
686	44.79399122
687	44.78840454
688	44.78565123
689	44.78110304
690	44.77891323
691	44.77406213
692	44.77197024
693	44.76794764
694	44.76460323
695	44.76360349
696	44.76003615
697	44.75342908
698	44.74794606
699	44.74336902
700	44.73859798
701	44.7294609
702	44.72637084
703	44.72216449
704	44.71609528
705	44.71480865
706	44.71122063
707	44.70677446
708	44.70100403
709	44.69430423
710	44.68681751
711	44.68372205
712	44.67948838
713	44.67622348
714	44.66970731
715	44.66614161
716	44.66369547
717	44.6597399
718	44.65407157
719	44.65151214
720	44.64985121
721	44.64340551
722	44.63822091
723	44.63471981
724	44.6325077
725	44.62892403
726	44.62724162
727	44.62199158
728	44.61789886
729	44.61577127
730	44.61144562
731	44.60583227
732	44.60015559
733	44.59718908
734	44.59549091
735	44.59008179
736	44.58491511
737	44.58161767
738	44.57945689
739	44.57658908
740	44.57217864
741	44.57027526
742	44.56896762
743	44.56369806
744	44.5588116
745	44.55171028
746	44.54741779
747	44.54217399
748	44.54025167
749	44.5361309
750	44.53356915
751	44.52889362
752	44.5226895
753	44.51757041
754	44.51013457
755	44.50466862
756	44.50265319
757	44.49691509
758	44.49204212
759	44.48762788
760	44.48370626
761	44.4803285
762	44.47948825
763	44.47585328
764	44.46900622
765	44.4663284
766	44.46085366
767	44.45957986
768	44.45806897
769	44.45377244
770	44.44882811
771	44.44534837
772	44.44131178
773	44.43725449
774	44.43376157
775	44.42973045
776	44.42571745
777	44.4193636
778	44.41614733
779	44.41289987
780	44.40834764
781	44.40660708
782	44.40229018
783	44.40013899
784	44.3975603
785	44.39280753
786	44.39154118
787	44.38876175
788	44.38171251
789	44.3790401
790	44.37607254
791	44.37192045
792	44.36646564
793	44.36514867
794	44.36112494
795	44.35500328
796	44.34831364
797	44.34055498
798	44.3354472
799	44.32820441
800	44.32161829
801	44.31615504
802	44.31011998
803	44.30400976
804	44.29852705
805	44.29500889
806	44.29313332
807	44.28897305
808	44.28347768
809	44.28108405
810	44.2774411
811	44.27387525
812	44.26765495
813	44.2657995
814	44.26178422
815	44.25903254
816	44.25744608
817	44.2549972
818	44.25208299
819	44.24603489
820	44.24315515
821	44.23846666
822	44.23477815
823	44.23001047
824	44.22776402
825	44.22107346
826	44.21729153
827	44.21559019
828	44.21180195
829	44.20485682
830	44.20322826
831	44.19843958
832	44.19671728
833	44.19555626
834	44.19395437
835	44.18903356
836	44.1845234
837	44.18186526
838	44.17866363
839	44.17191203
840	44.1683114
841	44.16389317
842	44.16071183
843	44.15524375
844	44.15369394
845	44.15071311
846	44.14611661
847	44.14208264
848	44.13875848
849	44.13566676
850	44.13085852
851	44.12768464
852	44.12334993
853	44.11889794
854	44.11503025
855	44.10748025
856	44.10426908
857	44.10242383
858	44.09817071
859	44.09415129
860	44.09259077
861	44.09022297
862	44.0869656
863	44.08534366
864	44.08052683
865	44.0764979
866	44.07264148
867	44.06906012
868	44.06483911
869	44.06094802
870	44.05911553
871	44.05236135
872	44.04866428
873	44.04668853
874	44.04238726
875	44.03825747
876	44.03439428
877	44.02941372
878	44.02337855
879	44.02106634
880	44.0191055
881	44.01755568
882	44.00978299
883	44.00801051
884	44.00465566
885	44.00032944
886	43.99549888
887	43.99195781
888	43.986175
889	43.98436859
890	43.98247694
891	43.97802616
892	43.97419366
893	43.96931116
894	43.9649297
895	43.96195129
896	43.95797159
897	43.95494705
898	43.95180556
899	43.94595274
900	43.94335159
901	43.93991343
902	43.9347521
903	43.93297754
904	43.92852013
905	43.9252849
906	43.91952596
907	43.91583068
908	43.91146455
909	43.90732897
910	43.90211759
911	43.89883807
912	43.89621486
913	43.88972797
914	43.88690914
915	43.87963753
916	43.87711374
917	43.87600529
918	43.87346248
919	43.87081598
920	43.86785863
921	43.86401882
922	43.86150229
923	43.85834387
924	43.85520678
925	43.85146144
926	43.84846726
927	43.84481428
928	43.8412209
929	43.83605767
930	43.83256014
931	43.83049066
932	43.82875654
933	43.82670612
934	43.81956665
935	43.81675811
936	43.81404814
937	43.80983901
938	43.80737694
939	43.80368038
940	43.79971022
941	43.79575106
942	43.78827255
943	43.78616689
944	43.78026485
945	43.77701308
946	43.77306753
947	43.77011103
948	43.76435347
949	43.76237078
950	43.75869414
951	43.75457715
952	43.74925604
953	43.74808475
954	43.74353999
955	43.73716167
956	43.73205409
957	43.7303677
958	43.72781568
959	43.72402673
960	43.71981532
961	43.71263736
962	43.70633814
963	43.70318589
964	43.70018653
965	43.69724906
966	43.69365757
967	43.69215104
968	43.68684615
969	43.681036
970	43.6761976
971	43.66925524
972	43.66478565
973	43.66001126
974	43.65620156
975	43.6497272
976	43.64749531
977	43.64474891
978	43.64062215
979	43.63778521
980	43.63425065
981	43.63233998
982	43.62424206
983	43.62049015
984	43.61662445
985	43.61294993
986	43.61175416
987	43.60949433
988	43.60615703
989	43.60014333
990	43.59577935
991	43.59369748
992	43.58822377
993	43.58392803
994	43.58036719
995	43.5781491
996	43.57367093
997	43.56999714
998	43.56414445
999	43.56068882
